# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Ancient Kodo	고대의 코도
Ancient Mana Spring Totem	고대의 마나샘 토템
Ancient of Arcane	비전의 고대정령
Ancient of Lore	지식의 고대정령
Ancient of War	전쟁의 고대정령
Ancient of Winter	겨울의 고대정령
Ancient of Wisdom	지혜의 고대의
Ancient Protector	고대 수호자
Ancient Stone Keeper	고대 바위 문지기
Ancient Treshadon	고대의 스레시아돈
Ancient Warrior	고대의 전사
Ancient Wolf Spirit	고대 늑대 정령
Ancona Chicken	안코나닭
Andalideth Suncaller	안달리데스 선콜러
Andana	안다나
Andanil Sunsworn	안다닐 태양서약
Ander Germaine	앤더 저메인
Andi	알렉시스
Andi Lynn	앤디 린
Andiss	안디스
Andorgos	안도르고스
Andorhal Tower Four	안돌할 탑 4
Andorhal Tower One	안돌할 탑 1
Andorhal Tower Three	안돌할 탑 3
Andorhal Tower Two	안돌할 탑 2
Andre Firebeard	앙드레 파이어비어드
Andrea Boynton	안드레아 보인톤
Andrea Halloran	안드레아 할로란
Andrea Paxton	앤드리아 팩스턴
Andrelas Thas'danil	안드렐라스 타스다닐
Andrew Bigglesell	앤드류 비글셀
Andrew Brownell	앤드류 브로넬
Andrew Hartwell	앤드류 하트웰
Andrew Hilbert	앤드류 힐버트
Andrew Krighton	앤드류 크라이튼
Androd Fadran	안드로드 패드랜
Androl Oakhand	안드롤 오크핸드
Andron Gant	안드론 건트
Andruk	안드루크
Andrus	안드루스
Anduin Wrynn	안두인 린
Anelace the Clairvoyant	아네라케 크르에이르브오이안트
Angela Curthas	안젤라 컬타스
Angela Goodwill	앤젤라 굿윌
Angelas Moonbreeze	안젤라스 문브리즈
Angelina Hackett	안젤리나 해켓
Anger'rel	격노의 문지기
Angerclaw	앵거클로
Angerclaw Bear	성난발톱곰
Angerclaw Grizzly	성난발톱불곰
Angerclaw Mauler	덩치 큰 성난발톱곰
Angered Infernal	격노한 지옥불정령
Angered Phantom	분노한 유령
Angrun	앵그런
Angry Programmer Tweedle Dee	화난 프로그래머 트위들 디
Anguished Dead	고통받는 망자
Anguished Elemental	아응우이시엗 정령
Anguished Ghoul	고뇌하는 구울
Anguished Highborne	고통받는 명가의 원혼
Angus	앙구스
Angus Stern	앵거스 스턴
Anilia	아닐리아
Animated Oil	아니마텓 기름
Animated Shredder	애니메이션 슈레더
Anisalah Starcaller	아니살라 스타콜러
Anishar	아니샤르
Anna Lacroix	안나 라크루아
Annabelle	애너벨
Annabelle Livingstone	애너벨 리빙스턴
Annalise Lerent	아날리스 리런트
Annesastrasza	안네사스트라자
Annora	안노라
Annoying Peasant	짜증 나는 일꾼
Anomalus	아노마룻
Ansekhwa	안세크화
Ansela Dawnshield	안셀라 던실드
Antarius	안타리우스
Anthion Harmon	안시온 하몬
Anthony Dursley	앤서니 더슬리
Anthoros Fallwind	안스오롯 팔르인드
ANTI_EXPLOIT_TELEPORTER	익스플로잇 방지 텔레포터
Antilos	안틸로스
Antilus the Soarer	창공의 안틸루스
Antlered Courser	순록
Antnormi	안트노르미
Antonas Riftgaze	안토낫 립트가제
Antonio Perelli	안토니오 페렐리
Antu'sul	안투술
Antur Fallow	안투르 팰로우
Anu'relos, Flame's Guidance	아누레롯, 불꽃의 인도
Anub'Rekhan	아눕레칸
Anub'shiah	아눕쉬아
Anubisath Conqueror	아누비사스 정복자
Anubisath Defender	아누비사스 문지기
Anubisath Guardian	아누비사스 감시자
Anubisath Sentinel	아누비사스 파수병
Anubisath Swarmguard	아누비사스 감시병
Anubisath Warbringer	상급 아누비사스 전투병
Anubisath Warder	아누비사스 수호병
Anubisath Warrior	아누비사스 전사
Anvilrage Captain	성난모루 대장
Anvilrage Footman	성난모루 보병
Anvilrage Guardsman	성난모루 보초
Anvilrage Marshal	성난모루 치안대장
Anvilrage Medic	성난모루 간호병
Anvilrage Officer	성난모루 장교
Anvilrage Overseer	성난모루 감독관
Anvilrage Reservist	성난모루 보충병
Anvilrage Soldier	성난모루 병사
Anvilrage Warden	성난모루 교도관
Anya Maulray	안야 마울레이
Ape	유인원
Apothecary Berard	연금술사 베랄드
Apothecary Clarkson	연금술사 클락슨
Apothecary Dithers	연금술사 디더스
Apothecary Falthis	연금술사 팔디스
Apothecary Faustin	연금술사 파우스틴
Apothecary Helbrim	연금술사 헬브림
Apothecary Jezel	연금술사 제젤
Apothecary Johaan	연금술사 요한
Apothecary Jorell	연금술사 조렐
Apothecary Katrina	연금술사 카트리나
Apothecary Keever	연금술사 키버
Apothecary Lycanus	연금술사 라이카누스
Apothecary Lydon	연금술사 라이던
Apothecary Quinard	연금술사 퀴나드
Apothecary Renferrel	연금술사 렌퍼럴
Apothecary Staffron Lerent	연금술사 스태프론 리런트
Apothecary Vallia	연금술사 발리아
Apothecary Villa	약국 빌라
Apothecary Volgrin	약제사 볼그린
Apothecary Zamah	연금술사 자마
Apothecary Zinge	연금술사 진게
Applebough	애플버
Apprentice Archery Target	수습생용 궁술 과녁
Apprentice Honeywell	수습생 허니웰
Apprentice Kryten	수습마법사 크리텐
Apprentice Soren	수습생 소렌
Apprentice Training Dummy	수습생용 훈련용 표적
Aputuq	아푸툭
AQ War Cenarion Hold Wave Trigger	푸른 나방
Aqir Cleric	아키르 성직자
Aqir Drone	아키르 드론
Aqir Larva	아키르 유충
Aqir Warrior	아키르 전사
Aqua Guardian	물의 수호정령
Aquamarine Greatwyrm	남옥빛 거대고룡
Aquatic Form (Night Elf Druid)	바다표범 형상 (나이트 엘프 드루이드)
Aquatic Form (Tauren Druid)	바다표범 형상 (타우렌 드루이드)
Aquementas	아쿠에멘타스
Aquitus	아퀴투스
Ar'lia	알리아
Arabella Black	아라벨라 블랙
Arados the Damned	저주받은 아라도스
Araga	아라가
Araj the Summoner	소환사 아라즈
Arakis	아라키스
Aranae Venomblood	아라네 베넘블러드
Arantir	아란티르
Arash-ethis	아라쉬에디스
Arashna	아라시나
Arathandris Silversky	아라탄드리스 실버스카이
Arathi Basin Battlemaster	아라시 분지 전투모병관
Arathi Blacksmith	아라시 대장장이
Arathi Farmer	아라시 농부
Arathi Horse	아라시 말
Arathi Lumberjack	아라시 나무꾼
Arathi Miner	아라시 광부
Arathi Stablehand	아라시 마구간지기
Araxxna's Hatchling	아락크나의 새끼
Arayna Softwind	아레이나 소프트윈드
Arc'tiras	아크티라스
Arcandir	아르칸디르
Arcane Aberration	불가사의한 피조물
Arcane Anomaly	비전 아노마리
Arcane Chimaerok	불가사의한 키메로크
Arcane Elemental	비전 정령
Arcane Feedback	비전의 역류
Arcane Furline	비전 풀리네
Arcane Golem	비전 골렘
Arcane Guardian	비전 수호자
Arcane Infused Gardener	비전 주입된 갈데넬
Arcane Nullifier X-21	자동화 마력제거기 X-21
Arcane Overflow	비전 오벨프르오
Arcane Pounder	비전 분쇄자
Arcane Rat	비전 쥐
Arcane Torrent	비전 격류
Arcane Vulpen	비전 불페라
Arcanist Anu'delen	아르카니스트 아누델렌
Arcanist Cerulon	비전술사 케루론
Arcanist Doan	신비술사 도안
Arcanist Elmarine	비전술사 엘마리네
Arcanist Nozzlespring	비전술사 노즐스프링
Arcanist Sovatir	비전술사 소바티르
Arcanite Dragonling	아케이나이트 기계용
Arch Druid Dreamwind	대드루이드 드림윈드
Arch Druid Fandral Staghelm	대드루이드 판드랄 스태그헬름
Arch Druid Hamuul Runetotem	대드루이드 하뮬 룬토템
Arch Druid Mothshroud	알치 드루이드 모스시르아우드
Arch Druid Renethra Moonwater	알치 드루이드 레네스라 므우느아텔
Arch Druid Renferal	대드루이드 렌퍼럴
Arch Hydromancer Lapidis	대수령술사 라피디스
Archaedas	아카에다스
Archaeologist Evenpike	알치아에오로깃트 에벤피케
Archaeologist Flagongut	고고학자 플라곤구트
Archaeologist Hollee	고고학자 호올리
Archaeologist Trixia Goldspark	고고학자 트릭시아 골드스파크
Archbishop Benedictus	대주교 베네딕투스
Archdruid Kronn	알치드루읻 크론느
Archery Target	궁술 표적
Archibald	아키발드
Archibald Earlwake	알치이발드 이르르아케
Archibald Kava	아키볼드 카바
Archivist Galford	기록관 갈포드
Archivist Landas	기록 보관 담당자 란다스
Archlich Enkhraz	아르클리치 엔크라즈
Archmage Allistarj	대마법사 알리스타즈
Archmage Alphus Wordwill	대마법사 알푸스 워드윌
Archmage Angela Dosantos	대마법사 안젤라 도산토스
Archmage Ansirem Runeweaver	대마법사 앤자이럼 룬위버
Archmage Arugal	대마법사 아루갈
Archmage Ataeric	대마법사 아태릭
Archmage Gaiman	대마법사 게이맨
Archmage Malin	대마법사 말린
Archmage Shymm	대마법사 심
Archmage Talyvanah	대마법사 탈리바나
Archmage Tarsis Kir-Moldir	대마법사 타르시스 키르몰디르
Archmage Tervosh	대마법사 테르보쉬
Archmage Xylem	대마법사 실렘
Arctic Riding Wolf	길들인 북극 늑대
Ardaen Evermoon	아르다엔 에버문
ARDAEUS_STATUE_NPC	아르다에우스_상태_NPC
Arden Godshall	아덴 갓샬
Ardo Dirtpaw	진창발 아르도
Ardwyn Cailen	애드윈 케일렌
Are	~이다
Area Trigger for quest 40377	퀘스트 40377의 지역 트리거
Area Trigger for quest 5321	퀘스트 5321의 지역 트리거
Arei	아레이
Arei Transformed	아레이
Arellas Fireleaf	아렐라스 파이어리프
Argaz Marblemight	알갓 말브레미그트
Argent Dawn Champion	은빛 여명회 용사
Argent Dawn Cleric	은빛 여명회 성직자
Argent Dawn Crusader	은빛 여명회 성전사
Argent Dawn Infantry	은빛 여명회 보병
Argent Dawn Initiate	은빛 여명회 신병
Argent Dawn Paladin	은빛 여명회 성기사
Argent Dawn Priest	은빛 여명회 사제
Argent Deathcharger	은빛 여명회 죽음의 군마
Argent Deathsteed	은빛 여명회 죽음의 준마
Argent Defender	은빛 여명회 수호병
Argent Emissary	은빛 여명회 사절
Argent Guard	은빛 여명회 경비병
Argent Guard Manados	은빛경비병 마나도스
Argent Guard Thaelrid	은빛경비병 타엘리드
Argent Hippogryph	은빛 히포그리프
Argent Horse	은빛 여명회 말
Argent Medic	은빛 여명회 의무병
Argent Messenger	은빛 여명회 전령
Argent Mount	은빛 여명회 탈것
Argent Officer Garush	은빛장교 가루쉬
Argent Officer Pureheart	은빛장교 퓨어하트
Argent Outfitter	은빛 여명회 보급장교
Argent Quartermaster	은빛 여명회 병참장교
Argent Quartermaster Hasana	은빛병참장교 하사나
Argent Quartermaster Lightspark	은빛병참장교 라이트스파크
Argent Recruiter	은빛 여명회 징병관
Argent Rider	은빛 여명회 기수
Argent Scout	은빛 여명회 정찰병
Argent Sentry	은빛 여명회 보초병
Arghon Stonewall	아르곤 스톤월
Argnuhl	알그누흐르
Argon Halmantle	아르곤 할만틀
Argor Smugshield	알골 스묵시이르드
Argos Nightwhisper	아르고스 나이트위스퍼
Argur Rustbrand	알굴 룻트브란드
Argus Shadow Mage	아르거스재림회 어둠마법사
Arias'ta Bladesinger	아리아스타 블레이드싱어
Arielle Cotton	알이르레 콧톤
Ariena Stormfeather	아리에나 스톰페더
Arikara	아리카라
Arin'sor	아린소르
Arisha Sunblade	아리샤 선블레이드
Aristan Mottar	아리스탄 모탈
Ariyell Skyshadow	아리옐 스카이섀도
Arkkoran Clacker	딸깍이 아크코란마크루라
Arkkoran Muckdweller	아크코란 땅꾼
Arkkoran Oracle	아크코란 점쟁이
Arkkoran Pincer	뾰족뿔 아크코란마크루라
Arko'narin	아르코나린
Arkod the White	알콛 흰
Armand Cromwell	알만드 크롬웰
Armed Greymane Militia	무장 그레이메인 민병대
Armok Noxulbrew	아르모크 녹설브루
Armored Amani Riding Bear	갑옷을 입은 아마니가 곰을 타고 있는 모습
Armored Black Deathcharger	갑옷을 두른 검은 드이스치알겔
Armored Brown Boar	갑옷을 두른 갈색 멧돼지
Armored Brown War Bear	갑옷갈색전투곰
Armored Crimson Deathcharger	장갑 크림슨 데스차저
Armored Dalaran Warhorse	갑옷을 입은 달라란 군마
Armored Dragonhawk	장갑 드래곤호크
Armored Ebon Deathcharger	장갑 에본 데스차저
Armored Ebon Gryphon	갑옷을 두른 칠흑의 그리핀
Armored Emerald Deathcharger	장갑 에메랄드 데스차저
Armored Frostmane Riding Bear	갑옷 입은 서리갈기 곰을 타고
Armored Green War Bear	장갑 녹색 전쟁 곰
Armored Ice Raptor	갑옷을 입은 얼음 랩터
Armored Ivory Deathcharger	속박의 루앙가
Armored Knight's Warhorse	갑옷 기사의 군마
Armored Purple War Bear	장갑 보라색 전쟁곰
Armored Red War Bear	갑옷을 입은 붉은 전쟁곰
Armored Scorpid	등껍질전갈
Armored Snowy Gryphon	갑옷을 두른 설원 그리핀
Armored Thalassian Unicorn	갑주 입은 탈라시안 유니콘
Armored Unicorn	갑옷 유니콘
Armored War Lion	갑옷을 두른 전쟁사자
Armored White War Bear	갑옷을 입은 흰색 전투곰
Armory Quartermaster Daghelm	알모리 쿠알텔맛텔 다그엘므
Arnak Grimtotem	아르낙 그림토템
Arnok	아르녹
Arnold	알놀드
Arnold Boran	아놀드 보란
Arnold Leland	아놀드 리랜드
Arra'chea	알라치아
Artahla Starstrider	알타흐라 별길잡이
Artemis	아르테미스
Artemus Halloway	아르테무스 할로웨이
Arthur	알스울
Arthur Moore	아서 무어
Arthur Steelborn	아서 스틸본
Arthur the Faithful	성기사 아서
Arthur Vandris	알스울 반드릿
Artilleryman Sheldonore	포수 쉘도노어
Artist	화가
Artist Renfray	화가 렌프레이
Artorius the Amiable	상냥한 아토리우스
Artorius the Doombringer	파멸의 인도자 아토리우스
Arugal	아루갈
Arugal's Voidwalker	아루갈의 보이드워커
Arygos	아리고스
Arygos Dragon Form	아리고스
Ash Riding Bear	재 탑승용 곰
Ash'ari Crystal	애쉬아리 수정
Ashanya Quel'belore	아샤냐 퀘벨로레
Ashbringer Trigger	파멸의 인도자
Ashenvale Bear	잿빛 골짜기 곰
Ashenvale Outrunner	잿빛 골짜기 정찰꾼
Ashenvale Sentinel	잿빛 골짜기 파수꾼
Ashenvale Stalker	잿빛 골짜기 추적자
Ashfeather Buzzard	애쉬페더 버저드
Ashfeather Scavenger	애쉬페더 스캐빈저
Ashfeather Swooper	애쉬페더 스우퍼
Ashlan Stonesmirk	애실런 스톤스머크
Ashley Bridenbecker	애쉴리 브리든베커
Ashmane Boar	잿빛갈기멧돼지
Ashpaw Hunter	애쉬포 사냥꾼
Ashpaw Hyena	애쉬포 하이에나
Ashylah Starcaller	애슐라 스타콜러
Aska Mistrunner	아스카 미스트러너
Aspect of Banality	진부의 위상
Aspect of Corruption	타락의 위상
Aspect of Malice	원한의 위상
Aspect of Shadow	어둠의 위상
Aspirant Shadewalker	그림자걷이 지원자
Assistant Steamflare	앗싯탄트 스트이므프라레
Astaia	아스타이아
Astalor Sunsworn	아스탈로르 선스원
Astarii Starseeker	아스타리 스타시커
Asterion	아스테리온
Astor Hadren	아스토르 하드렌
Astranaar Sentinel	아스트라나르 파수꾼
Asza	아스자
Aszosh Grimflame	아조쉬 그림플레임
Atal'ai Corpse Eater	아탈라이 식인트롤
Atal'ai Deathwalker	아탈라이 좀비
Atal'ai Deathwalker's Spirit	아탈라이 부족 영혼
Atal'ai Exile	추방된 아탈라이트롤
Atal'ai High Priest	아탈라이 대사제
Atal'ai Mistress	아탈라이 무희
Atal'ai Priest	아탈라이 사제
Atal'ai Skeleton	아탈라이 해골
Atal'ai Slave	아탈라이 노예
Atal'ai Totem	아탈라이 토템
Atal'ai Warrior	아탈라이 전사
